Peleador_A,Peleador_B,DATE,WINNER,METHOD,TIME,KD_A,KD_B,SIG_STR_A,SIG_STR_B,TOTAL_STR_A,TOTAL_STR_B,TD_A,TD_B,TD_PORC_A,TD_PORC_B,SUB_ATT_A,SUB_ATT_B,REV_A,REV_B,CTRL_A,CTRL_B,STR_HEAD_A,STR_HEAD_B,STR_BODY_A,STR_BODY_B,STR_LEG_A,STR_LEG_B,STR_DISTANCE_A,STR_DISTANCE_B,STR_CLINCH_A,STR_CLINCH_B,STR_GROUND_A,STR_GROUND_B
Dricus Du Plessis,Sean Strickland,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,46%,48%,149 of 316,128 of 263,1 of 2,0 of 0,50%,---,0,0,0,0,0:05,0:00,50 of 193,90 of 212,45 of 59,29 of 41,52 of 62,9 of 10,147 of 314,128 of 263,0 of 0,0 of 0,0 of 0,0 of 0
Zhang Weili,Tatiana Suarez,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,60%,33%,232 of 299,63 of 95,1 of 3,1 of 15,33%,6%,1,0,0,0,10:54,5:56,32 of 56,1 of 16,16 of 21,2 of 6,5 of 10,9 of 14,29 of 62,10 of 33,11 of 11,2 of 3,13 of 14,0 of 0
Justin Tafa,Tallison Teixeira,"February 15, 2025",1,KO/TKO,TIME: 0:35,0,1,0%,88%,0 of 1,9 of 10,0 of 0,0 of 1,---,0%,0,0,0,0,0:00,0:11,0 of 1,5 of 6,0 of 0,3 of 3,0 of 0,0 of 0,0 of 1,1 of 2,0 of 0,3 of 3,0 of 0,4 of 4
Jimmy Crute,Rodolfo Bellato,"February 15, 2025",1,Decision - Majority,TIME: 5:00,1,0,50%,63%,139 of 247,95 of 148,0 of 3,1 of 2,0%,50%,0,0,0,0,3:52,0:29,93 of 190,36 of 76,8 of 10,24 of 29,5 of 9,29 of 36,77 of 170,85 of 136,11 of 13,4 of 5,18 of 26,0 of 0
Jake Matthews,Francisco Prado,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,36%,40%,95 of 215,64 of 152,0 of 0,1 of 6,---,16%,0,0,0,0,0:40,2:16,39 of 146,17 of 92,24 of 33,19 of 28,5 of 5,23 of 26,56 of 169,47 of 132,12 of 15,11 of 13,0 of 0,1 of 1
Jack Jenkins,Gabriel Santos,"February 15, 2025",1,Submission,TIME: 2:06,1,0,70%,63%,39 of 55,96 of 123,0 of 1,4 of 7,0%,57%,0,2,0,0,2:20,6:19,22 of 35,26 of 44,5 of 6,6 of 9,7 of 7,7 of 8,13 of 22,23 of 45,5 of 6,3 of 3,16 of 20,13 of 13
Tom Nolan,Viacheslav Borshchev,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,39%,55%,111 of 236,92 of 163,1 of 8,0 of 0,12%,---,3,1,0,0,2:01,3:11,43 of 130,20 of 67,11 of 23,26 of 31,15 of 22,20 of 20,63 of 163,61 of 106,5 of 11,1 of 4,1 of 1,4 of 8
Wang Cong,Bruna Brasil,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,56%,48%,104 of 182,31 of 64,2 of 2,0 of 1,100%,0%,0,0,0,0,0:03,0:00,38 of 99,11 of 30,21 of 32,12 of 19,44 of 50,8 of 15,102 of 177,30 of 63,0 of 1,1 of 1,1 of 3,0 of 0
Colby Thicknesse,Aleksandre Topuria,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,29%,51%,40 of 131,65 of 110,0 of 8,1 of 2,0%,50%,0,0,0,0,0:00,5:02,18 of 91,18 of 53,12 of 27,19 of 22,8 of 9,4 of 4,35 of 122,35 of 70,3 of 5,5 of 7,0 of 0,1 of 2
Rongzhu,Kody Steele,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,1,0,51%,28%,126 of 243,59 of 209,0 of 0,1 of 4,---,25%,0,0,1,0,0:18,0:06,108 of 220,47 of 194,4 of 8,10 of 11,13 of 13,2 of 4,125 of 241,58 of 205,0 of 0,1 of 4,0 of 0,0 of 0
Jonathan Micallef,Kevin Jousset,"February 15, 2025",1,Decision - Unanimous,TIME: 5:00,1,0,44%,39%,89 of 197,71 of 173,0 of 0,0 of 0,---,---,0,0,0,0,0:09,0:00,52 of 151,32 of 112,28 of 34,17 of 34,5 of 7,18 of 22,83 of 190,66 of 166,2 of 2,1 of 2,0 of 0,0 of 0
Quillan Salkilld,Anshul Jubli,"February 15, 2025",1,KO/TKO,TIME: 0:19,1,0,85%,0%,6 of 7,0 of 1,0 of 0,0 of 0,---,---,0,0,0,0,0:01,0:00,2 of 3,0 of 1,1 of 1,0 of 0,3 of 3,0 of 0,5 of 6,0 of 1,0 of 0,0 of 0,1 of 1,0 of 0
Israel Adesanya,Nassourdine Imavov,"February 08, 2025",1,KO/TKO,TIME: 0:30,0,1,52%,48%,32 of 56,18 of 34,0 of 1,0 of 3,0%,0%,0,0,0,0,0:00,0:44,9 of 28,9 of 21,6 of 8,0 of 3,11 of 14,6 of 7,26 of 50,10 of 25,0 of 0,0 of 0,0 of 0,5 of 6
Shara Magomedov,Michael Page,"February 08, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,43%,57%,50 of 102,47 of 81,0 of 0,0 of 1,---,0%,0,0,0,0,0:40,0:50,8 of 42,23 of 53,17 of 20,11 of 12,13 of 25,9 of 10,34 of 82,38 of 69,4 of 5,5 of 6,0 of 0,0 of 0
Sergei Pavlovich,Jairzinho Rozenstruik,"February 08, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,41%,30%,145 of 208,23 of 63,2 of 2,0 of 0,100%,---,0,0,0,0,6:17,0:00,21 of 55,7 of 43,2 of 3,3 of 3,2 of 2,7 of 9,25 of 60,17 of 55,0 of 0,0 of 0,0 of 0,0 of 0
Said Nurmagomedov,Vinicius Oliveira,"February 08, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,48%,45%,69 of 111,68 of 125,1 of 9,3 of 5,11%,60%,0,1,0,0,0:58,7:12,18 of 54,24 of 63,13 of 17,11 of 18,7 of 8,8 of 13,37 of 76,31 of 74,1 of 3,2 of 5,0 of 0,10 of 15
Fares Ziam,Mike Davis,"February 08, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,62%,57%,58 of 83,30 of 49,4 of 7,1 of 8,57%,12%,0,1,2,3,7:11,3:59,29 of 50,13 of 26,5 of 5,5 of 6,1 of 1,2 of 3,20 of 33,13 of 24,5 of 6,2 of 2,10 of 17,5 of 9
Muhammad Naimov,Kaan Ofli,"February 08, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,34%,46%,79 of 176,57 of 97,2 of 2,0 of 6,100%,0%,0,0,0,0,5:36,3:35,23 of 79,5 of 30,8 of 12,16 of 21,1 of 1,10 of 15,22 of 73,14 of 44,6 of 6,17 of 22,4 of 13,0 of 0
Shamil Gaziev,Thomas Petersen,"February 08, 2025",1,KO/TKO,TIME: 3:12,1,0,43%,55%,14 of 32,19 of 35,0 of 0,1 of 1,---,100%,0,0,0,0,0:00,0:08,9 of 27,4 of 18,5 of 5,7 of 8,0 of 0,8 of 8,13 of 30,18 of 31,1 of 2,1 of 3,0 of 0,0 of 0
Terrance McKinney,Damir Hadzovic,"February 08, 2025",1,KO/TKO,TIME: 2:01,0,0,78%,30%,69 of 90,4 of 13,0 of 0,1 of 2,---,50%,1,0,1,0,1:00,0:08,53 of 67,3 of 9,1 of 2,0 of 3,0 of 0,1 of 1,8 of 18,4 of 13,0 of 0,0 of 0,46 of 51,0 of 0
Jasmine Jasudavicius,Mayra Bueno Silva,"February 08, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,53%,51%,164 of 229,41 of 76,3 of 5,0 of 0,60%,---,0,1,0,0,7:11,0:00,23 of 66,23 of 53,20 of 26,8 of 12,13 of 13,6 of 7,48 of 94,30 of 64,8 of 10,7 of 8,0 of 1,0 of 0
Bogdan Grad,Lucas Alexander,"February 08, 2025",1,KO/TKO,TIME: 4:22,0,0,69%,65%,59 of 86,47 of 71,3 of 8,0 of 1,37%,0%,0,0,0,1,4:18,2:13,42 of 60,19 of 37,1 of 2,7 of 7,3 of 4,8 of 8,9 of 18,29 of 45,3 of 4,3 of 4,34 of 44,2 of 3
Hamdy Abdelwahab,Jamal Pogues,"February 08, 2025",1,Decision - Split,TIME: 5:00,0,0,50%,56%,52 of 103,69 of 123,1 of 1,0 of 1,100%,0%,0,0,0,0,0:57,0:00,25 of 65,43 of 94,3 of 4,0 of 0,16 of 18,26 of 29,40 of 81,68 of 122,0 of 0,1 of 1,4 of 6,0 of 0
Islam Makhachev,Renato Moicano,"February 01, 2025",1,Submission,TIME: 4:05,0,0,31%,33%,18 of 31,18 of 37,1 of 2,0 of 0,50%,---,1,0,0,0,1:27,0:00,5 of 17,2 of 18,1 of 2,3 of 5,0 of 0,4 of 4,5 of 18,9 of 27,0 of 0,0 of 0,1 of 1,0 of 0
Merab Dvalishvili,Umar Nurmagomedov,"February 01, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,42%,43%,142 of 293,113 of 246,7 of 30,2 of 15,23%,13%,0,0,0,0,2:22,1:37,71 of 207,76 of 199,30 of 37,22 of 30,10 of 15,6 of 8,88 of 219,92 of 219,22 of 37,12 of 18,1 of 3,0 of 0
Jiri Prochazka,Jamahal Hill,"February 01, 2025",1,KO/TKO,TIME: 3:01,2,0,58%,45%,101 of 170,84 of 180,0 of 0,0 of 0,---,---,0,0,0,0,0:22,0:00,73 of 132,55 of 145,19 of 23,24 of 29,5 of 10,2 of 3,71 of 129,68 of 158,10 of 13,13 of 19,16 of 23,0 of 0
Jailton Almeida,Serghei Spivac,"February 01, 2025",1,KO/TKO,TIME: 4:53,0,0,74%,53%,36 of 49,34 of 47,1 of 1,1 of 1,100%,100%,0,0,1,1,1:48,2:08,20 of 27,14 of 27,1 of 2,1 of 1,2 of 2,0 of 0,7 of 12,2 of 7,4 of 6,0 of 0,12 of 13,13 of 21
Kevin Holland,Reinier de Ridder,"February 01, 2025",1,Submission,TIME: 3:31,0,0,84%,57%,27 of 32,26 of 35,0 of 0,2 of 2,---,100%,0,1,0,0,0:00,3:25,10 of 12,11 of 20,1 of 1,1 of 1,0 of 0,0 of 0,1 of 2,0 of 0,1 of 1,0 of 0,9 of 10,12 of 21
Payton Talbott,Raoni Barcelos,"February 01, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,58%,72%,59 of 95,91 of 115,1 of 1,8 of 15,100%,53%,0,2,0,0,1:25,9:43,39 of 74,59 of 81,7 of 7,2 of 3,3 of 3,1 of 1,37 of 67,18 of 30,7 of 10,5 of 5,5 of 7,39 of 50
Zachary Reese,Azamat Bekoev,"February 01, 2025",1,KO/TKO,TIME: 3:04,0,0,54%,80%,22 of 35,52 of 59,0 of 0,1 of 2,---,50%,0,0,0,0,0:00,2:14,13 of 22,16 of 19,0 of 2,3 of 4,0 of 0,2 of 3,1 of 7,3 of 6,1 of 1,0 of 0,11 of 16,18 of 20
Bogdan Guskov,Billy Elekana,"February 01, 2025",1,Submission,TIME: 3:33,0,0,66%,71%,59 of 85,28 of 37,0 of 0,1 of 1,---,100%,2,0,1,0,1:24,3:40,39 of 63,18 of 25,5 of 5,2 of 3,3 of 3,0 of 0,19 of 34,13 of 21,11 of 11,0 of 0,17 of 26,7 of 7
Grant Dawson,Diego Ferreira,"February 01, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,57%,67%,195 of 269,84 of 113,6 of 11,0 of 0,54%,---,0,0,0,0,10:50,0:20,51 of 91,31 of 48,3 of 5,6 of 9,2 of 2,4 of 4,19 of 47,31 of 51,7 of 8,6 of 6,30 of 43,4 of 4
Karol Rosa,Ailin Perez,"February 01, 2025",1,Decision - Unanimous,TIME: 5:00,0,0,47%,47%,120 of 182,81 of 155,0 of 0,2 of 8,---,25%,0,0,0,0,0:00,4:15,20 of 67,28 of 87,6 of 11,11 of 17,27 of 34,23 of 27,49 of 105,56 of 121,2 of 5,2 of 3,2 of 2,4 of 7
