,Peleador,Fecha,KD_A,SIG_STR_A,TD_PORC_A,SUB_ATT_A,REV_A,CTRL_A,TD_x_A,TD_y_A,TOTAL_STR_x_A,TOTAL_STR_y_A,STR_HEAD_x_A,STR_HEAD_y_A,STR_BODY_x_A,STR_BODY_y_A,STR_LEG_x_A,STR_LEG_y_A,STR_DISTANCE_x_A,STR_DISTANCE_y_A,STR_CLINCH_x_A,STR_CLINCH_y_A,STR_GROUND_x_A,STR_GROUND_y_A,Peleas,Puntos,Racha,Victorias_KO,Victorias_Sub,Victorias_Decision,Derrotas_KO,Derrotas_Sub,Derrotas_Decision,height,reach,leg_reach
LAVERNE CLARK,Laverne Clark,2000-09-22,0.25,0.5700000000000001,0.25,0.0,0.5,84.75,0.5,0.5,45.0,58.5,5.25,16.75,3.5,4.0,0.0,0.0,2.0,10.5,1.25,1.75,5.5,8.5,4,0.023394661862108257,0,2,0,1,0,1,0,,,
FRANK CARACCI,Frank Caracci,1999-01-08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,0.0,0,0,0,0,1,0,0,,,
MIKEY BURNETT,Mikey Burnett,1999-01-08,1.0,0.31,0.0,1.0,0.0,0.0,0.0,0.0,57.0,150.0,28.0,119.0,9.0,9.0,5.0,7.0,21.0,89.0,19.0,37.0,2.0,9.0,1,0.010612922228003897,1,0,0,1,0,0,0,,,
TOWNSEND SAUNDERS,Townsend Saunders,1999-01-08,0.0,0.53,0.0,0.0,0.0,0.0,0.0,6.0,41.0,70.0,7.0,26.0,14.0,15.0,13.0,22.0,20.0,45.0,14.0,18.0,0.0,0.0,1,0.0,0,0,0,0,0,0,1,,,
PEDRO RIZZO,Pedro Rizzo,2003-11-21,0.46153846153846156,0.35,0.10230769230769231,0.0,0.0,70.38461538461539,0.15384615384615385,0.5384615384615384,29.46153846153846,67.07692307692308,10.23076923076923,44.38461538461539,1.2307692307692308,1.2307692307692308,8.692307692307692,11.307692307692308,14.846153846153847,48.0,2.5384615384615383,3.8461538461538463,2.769230769230769,5.076923076923077,13,0.7368540517328985,2,6,0,2,2,0,3,73.0,,
MARK COLEMAN,Mark Coleman,2010-02-06,0.0,0.4825,0.35750000000000004,0.0,0.0,239.75,3.0,6.0,51.0,77.0,18.75,41.25,1.75,2.25,1.0,1.25,8.0,24.5,2.0,2.75,11.5,17.5,4,0.0,0,0,0,1,1,1,1,73.0,,
BAS RUTTEN,Bas Rutten,1999-05-07,0.5,0.56,0.0,0.5,0.0,0.0,0.0,0.0,125.5,147.5,15.5,35.0,4.5,5.5,4.5,4.5,11.0,26.5,5.0,8.0,8.5,10.5,2,0.1260215355001111,2,1,0,1,0,0,0,0.0,,
TSUYOSHI KOHSAKA,Tsuyoshi Kohsaka,2002-05-10,0.0,0.5549999999999999,0.3325,0.75,0.25,27.0,1.0,4.0,58.5,74.25,6.5,15.5,3.0,3.5,4.0,7.25,6.0,13.75,1.5,2.5,6.0,10.0,4,0.0,0,1,0,0,3,0,0,,,
EVAN TANNER,Evan Tanner,2008-06-21,0.058823529411764705,0.5776470588235294,0.37705882352941184,0.8823529411764706,0.0,181.23529411764707,1.2352941176470589,2.7058823529411766,37.76470588235294,54.94117647058823,13.941176470588236,26.764705882352942,5.705882352941177,7.705882352941177,3.176470588235294,3.588235294117647,7.588235294117647,17.70588235294118,5.588235294117647,7.235294117647059,9.647058823529411,13.117647058823529,17,2.3721155982290116,0,5,4,2,5,0,1,72.0,,
DARREL GHOLAR,Darrel Gholar,1999-01-08,0.0,0.15,1.0,0.0,0.0,0.0,1.0,1.0,30.0,59.0,3.0,25.0,1.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,12.0,1,0.0,0,0,0,0,0,1,0,,,
TITO ORTIZ,Tito Ortiz,2012-07-07,0.08,0.5084,0.48359999999999986,0.32,0.0,286.68,2.24,5.12,65.12,98.76,20.04,49.6,3.56,4.399999999999999,3.64,4.48,9.32,30.04,6.12,8.520000000000003,11.8,19.92,25,0.0,0,7,2,6,5,0,5,75.0,,
JERRY BOHLANDER,Jerry Bohlander,1999-01-08,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,39.0,55.0,5.0,17.0,0.0,0.0,4.0,8.0,7.0,20.0,1.0,4.0,1.0,1.0,1,0.0,0,0,0,0,1,0,0,,,
PAT MILETICH,Pat Miletich,2002-03-22,0.14285714285714285,0.4614285714285714,0.5714285714285714,0.42857142857142855,0.0,135.14285714285714,1.2857142857142858,1.2857142857142858,42.57142857142857,64.28571428571429,8.857142857142858,28.0,2.142857142857143,3.2857142857142856,3.857142857142857,4.857142857142857,9.428571428571429,28.571428571428573,2.5714285714285716,4.142857142857143,2.857142857142857,3.4285714285714284,7,1.2896866334473676,0,2,2,1,1,1,0,70.0,,
JORGE PATINO,Jorge Patino,1999-01-08,0.0,0.21,0.16,1.0,0.0,0.0,1.0,6.0,21.0,90.0,5.0,69.0,1.0,2.0,13.0,17.0,16.0,83.0,2.0,4.0,1.0,1.0,1,0.0,0,0,0,0,0,0,1,,,
KEVIN RANDLEMAN,Kevin Randleman,2002-01-11,0.0,0.4928571428571429,0.72,0.7142857142857143,0.0,373.14285714285717,3.0,4.285714285714286,42.857142857142854,72.28571428571429,12.714285714285714,36.0,1.0,1.2857142857142858,0.14285714285714285,0.2857142857142857,2.5714285714285716,9.857142857142858,1.4285714285714286,2.2857142857142856,9.857142857142858,25.428571428571427,7,0.3767456239545985,1,0,0,4,2,0,1,70.0,,
MAURICE SMITH,Maurice Smith,2000-11-17,0.0,0.6875,0.0,0.5,0.0,90.0,0.0,0.0,43.0,49.5,5.75,12.0,6.0,6.0,3.5,3.75,4.0,7.75,10.75,13.5,0.5,0.5,4,0.016818482304766846,0,1,0,1,0,0,2,74.0,,
