,Peleador_A,Peleador_B,DATE,CATEGORY,WINNER,METHOD,TIME,ROUND,KD_A,KD_B,SIG_STR_A,SIG_STR_B,TD_PORC_A,TD_PORC_B,SUB_ATT_A,SUB_ATT_B,REV_A,REV_B,CTRL_A,CTRL_B,TOTAL_STR_A_x,TOTAL_STR_A_y,TOTAL_STR_B_x,TOTAL_STR_B_y,TD_A_x,TD_A_y,TD_B_x,TD_B_y,STR_HEAD_A_x,STR_HEAD_A_y,STR_HEAD_B_x,STR_HEAD_B_y,STR_BODY_A_x,STR_BODY_A_y,STR_BODY_B_x,STR_BODY_B_y,STR_LEG_A_x,STR_LEG_A_y,STR_LEG_B_x,STR_LEG_B_y,STR_DISTANCE_A_x,STR_DISTANCE_A_y,STR_DISTANCE_B_x,STR_DISTANCE_B_y,STR_CLINCH_A_x,STR_CLINCH_A_y,STR_CLINCH_B_x,STR_CLINCH_B_y,STR_GROUND_A_x,STR_GROUND_A_y,STR_GROUND_B_x,STR_GROUND_B_y,KD_DIFF,SIG_STR_DIFF,TD_DIFF,SUB_ATT_DIFF,REV_DIFF,CTRL_DIFF,STRIKER_A,STRIKER_B,GRAPPLER_A,GRAPPLER_B,TITLE_FIGHT,WOMEN,Loss_A,Win_A,Draw_A,Loss_B,Win_B,Draw_B,Peleas_A,Peleas_B,Puntos_A,Puntos_B,Racha_A,Racha_B,Victorias_KO_A,Victorias_KO_B,Victorias_Sub_A,Victorias_Sub_B,Victorias_Decision_A,Victorias_Decision_B,Derrotas_KO_A,Derrotas_KO_B,Derrotas_Sub_A,Derrotas_Sub_B,Derrotas_Decision_A,Derrotas_Decision_B
0,Laverne Clark,Frank Caracci,1999-01-08,LIGHTWEIGHT,False,KO/TKO,412,1,0,0,0.5,0.0,1.0,0.0,0,1,0,0,0,0,35,52,0,2,2,2,0,2,13,28,0,0,2,2,0,2,0,0,0,0,1,4,0,2,0,0,0,0,14,26,0,0,0,0.5,0.6666666666666666,-1,0,0,17.333333333333332,0.6666666666666666,0.03773584905660377,0.6666666666666666,False,False,,,,,,,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,Mikey Burnett,Townsend Saunders,1999-01-08,LIGHTWEIGHT,False,Decision - Unanimous,180,2,1,0,0.31,0.53,0.0,0.0,1,0,0,0,0,0,57,150,41,70,0,0,0,6,28,119,7,26,9,9,14,15,5,7,13,22,21,89,20,45,19,37,14,18,2,9,0,0,1,-0.22000000000000003,0.0,1,0,0,150.0,10.0,0.0,0.08450704225352113,False,False,,,,,,,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,Pedro Rizzo,Mark Coleman,1999-01-08,HEAVYWEIGHT,False,Decision - Split,180,2,0,0,0.55,0.47,0.0,0.33,0,0,0,0,0,0,29,43,58,86,0,0,2,6,9,22,23,49,0,0,0,1,7,7,2,3,15,28,7,23,1,1,0,1,0,0,18,29,0,0.08000000000000007,-0.2857142857142857,0,0,0,43.0,12.285714285714286,0.0,0.06896551724137931,False,False,5.0,0.0,0.0,15.0,7.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6,Bas Rutten,Tsuyoshi Kohsaka,1999-01-08,HEAVYWEIGHT,False,KO/TKO,135,2,1,0,0.5,0.48,0.0,0.33,0,0,0,0,0,0,70,100,120,154,0,0,3,9,21,50,16,38,3,4,4,5,7,7,3,4,18,42,6,14,9,15,2,2,4,4,15,31,1,0.020000000000000018,-0.3,0,0,0,100.0,15.4,0.0,0.05806451612903226,False,False,26.0,4.0,1.0,,,,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,Evan Tanner,Darrel Gholar,1999-01-08,MIDDLEWEIGHT,False,Submission,477,1,0,0,0.64,0.15,1.0,1.0,4,0,0,0,0,0,25,39,30,59,1,1,1,1,10,20,3,25,5,6,1,1,9,11,0,0,10,16,0,14,14,21,0,0,0,0,4,12,0,0.49,0.0,4,0,0,19.5,29.5,0.025,0.016666666666666666,False,False,23.0,2.0,0.0,,,,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,Tito Ortiz,Jerry Bohlander,1999-01-08,MIDDLEWEIGHT,False,TKO - Doctor's Stoppage,151,2,0,0,0.48,0.36,0.85,0.0,0,0,0,0,0,0,59,100,39,55,6,7,0,0,35,73,5,17,2,3,0,0,0,0,4,8,12,29,7,20,7,12,1,4,18,35,1,1,0,0.12,0.75,0,0,0,12.5,55.0,0.06930693069306931,0.0,False,False,6.0,2.0,1.0,,,,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
5,Pat Miletich,Jorge Patino,1999-01-08,WELTERWEIGHT,False,Decision - Unanimous,180,3,0,0,0.38,0.21,1.0,0.16,0,1,0,0,0,0,71,115,21,90,3,3,1,6,9,44,5,69,4,9,1,2,14,18,13,17,20,62,16,83,2,4,2,4,5,5,1,1,0,0.17,0.6071428571428572,-1,0,0,28.75,12.857142857142858,0.02586206896551724,0.06593406593406594,True,False,22.0,3.0,2.0,,,,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7,Kevin Randleman,Maurice Smith,1999-03-05,HEAVYWEIGHT,False,Decision - Unanimous,180,2,0,0,0.34,0.56,1.0,0.0,0,2,0,0,0,0,39,77,14,21,4,4,0,0,17,49,2,9,0,0,2,2,0,0,5,5,4,18,6,13,1,2,3,3,12,29,0,0,0,-0.22000000000000003,0.8,-2,0,0,15.4,21.0,0.05128205128205128,0.0,False,False,6.0,2.0,0.0,12.0,15.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,Sione Latu,Joey Roberts,1999-03-05,HEAVYWEIGHT,False,TKO - Doctor's Stoppage,601,1,0,0,0.47,0.4,1.0,0.5,0,2,1,1,0,0,14,26,33,60,1,1,1,2,6,15,14,38,2,3,3,4,1,1,0,0,3,6,0,8,4,10,2,4,2,3,15,30,0,0.06999999999999995,0.16666666666666669,-2,0,0,13.0,20.0,0.037037037037037035,0.03278688524590164,False,False,,,,,,,0,0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11,Pete Williams,Jason Godsey,1999-03-05,HEAVYWEIGHT,False,Submission,116,1,0,0,0.42,0.28,1.0,0.0,1,0,0,0,0,0,10,14,9,16,1,1,0,0,2,6,0,5,1,1,2,2,0,0,0,0,1,3,1,5,1,2,1,2,1,2,0,0,0,0.13999999999999996,0.5,1,0,0,7.0,16.0,0.06666666666666667,0.0,False,False,6.0,1.0,0.0,,,,0,0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
